,Total_Reward
397,-473.08377
398,-197.10692
399,-614.22656
400,-197.32208
401,-63.53288
402,-54.45059
403,-197.13922
404,-196.92616
405,-197.18996
406,-155.23369
407,-54.932495
408,-197.13077
409,-197.2944
410,-197.26152
411,-430.53143
412,-54.609825
413,-64.48433
414,-113.29384
415,-72.79414
416,-196.8904
417,-54.605846
418,-197.04161
419,-197.0632
420,-54.401512
421,-682.358
422,-54.45961
423,-54.41383
424,-86.9906
425,-54.52262
426,-71.103806
427,-196.729
428,-54.288513
429,-196.4511
430,-54.476143
431,-450.03302
432,-568.0606
433,-54.624077
434,-54.74759
435,-510.24075
436,-564.9931
437,-58.958614
438,-196.96022
439,-512.2307
440,-54.85635
441,-54.212204
442,-54.85629
443,-543.74493
444,-4064.8105
445,-54.45411
446,-482.0652
447,-689.3711
448,-565.7505
449,-24775.809
450,-54.675663
451,-197.06511
452,-196.86269
453,-387.96747
454,-196.6736
455,-196.537
456,-54.338036
457,-71.08792
458,-196.95087
459,-409.72833
460,-549.948
461,-105.1313
462,-83.22548
463,-197.12753
464,-198.69629
465,-197.06242
466,-509.51547
467,-59.544178
468,-59.38487
469,-196.9227
470,-520.5416
471,-104.92587
472,-54.523193
473,-519.0388
474,-11861.691
475,-196.79663
476,-54.74814
477,-196.77216
478,-620.8039
479,-477.22324
480,-514.23444
481,-196.89076
482,-54.541344
483,-196.49951
484,-54.952427
485,-54.614094
486,-562.40564
487,-93.52629
488,-196.48799
489,-21137.732
490,-194.98167
491,-445.04437
492,-127.00952
493,-197.0422
494,-4902.5703
495,-762.89606
496,-567.77075
497,-475.9529
498,-195.97726
499,-194.73543
500,-195.66385
501,-631.6074
502,-196.41685
503,-196.65077
504,-196.54063
505,-54.865646
506,-196.71167
507,-54.762802
508,-196.68198
509,-196.87106
510,-68.77641
511,-54.770187
512,-196.04852
513,-195.93437
514,-54.687134
515,-554.38934
516,-703.6804
517,-462.5908
518,-196.59749
519,-195.72234
520,-195.80023
521,-33283.234
522,-2397.824
523,-54.547955
524,-1747.6025
525,-20873.04
526,-54.783455
527,-453.69208
528,-9927.98
529,-197.13135
530,-192.15512
531,-54.69402
532,-54.277557
533,-196.23195
534,-54.752148
535,-246.09236
536,-197.33363
537,-195.05185
538,-93.91884
539,-147.09543
540,-54.791107
541,-54.63429
542,-80.68478
543,-477.43918
544,-197.42815
545,-510.6075
546,-7217.4155
547,-197.19011
548,-54.634296
549,-197.34866
550,-54.87139
551,-54.65401
552,-197.06981
553,-43141.117
554,-450.73743
555,-410.3833
556,-385.79395
557,-560.45026
558,-59.454643
559,-196.91998
560,-196.96484
561,-116.82942
562,-425.76068
563,-671.8235
564,-309.3847
565,-106.82971
566,-197.5612
567,-197.3095
568,-65.71566
569,-96.56132
570,-197.27377
571,-54.77967
572,-503.1822
573,-196.7787
574,-447.50107
575,-10091.199
576,-424.03882
577,-65.581375
578,-197.34642
579,-197.02335
580,-197.21687
581,-197.01944
582,-195.10126
583,-54.98002
584,-532.34
585,-197.1865
586,-54.79826
587,-197.10522
588,-688.4327
589,-54.361305
590,-54.787186
591,-436.15723
592,-196.41167
593,-95.53148
594,-197.14928
595,-432.1736
596,-470.8791
597,-511.68692
598,-196.55151
599,-54.185387
600,-197.19666
601,-562.6221
602,-197.24663
603,-125.7554
604,-10245.614
605,-197.05035
606,-196.6193
607,-196.68535
608,-196.86737
609,-7298.334
610,-197.09756
611,-563.7555
612,-98.539215
613,-39037.133
614,-196.8125
615,-547.3237
616,-546.8368
617,-130.84784
618,-196.85532
619,-196.48033
620,-63.824234
621,-196.08983
622,-411.35156
623,-54.942265
624,-647.7878
625,-195.47983
626,-194.77412
627,-195.30418
628,-194.29042
629,-195.1133
630,-149.41011
631,-106031.47
632,-194.61792
633,-4416.16
634,-54.637325
635,-54.70646
636,-54.7668
637,-54.528492
638,-195.13324
639,-54.895767
640,-7864.0293
641,-54.285885
642,-643.73254
643,-195.50914
644,-195.4578
645,-449.13538
646,-195.75586
647,-66843.01
648,-437.44684
649,-54.617783
650,-196.23517
651,-196.0012
652,-54.164574
653,-54.20912
654,-54.733147
655,-195.40639
656,-424.65942
657,-194.73749
658,-40702.82
659,-194.37811
660,-194.59683
661,-59.255283
662,-377.44073
663,-3522.0867
664,-195.69542
665,-1315.7338
666,-194.95201
667,-195.51465
668,-17348.998
669,-54.926895
670,-373.3697
671,-196.13379
672,-2210.6968
673,-196.51978
674,-197.18648
675,-476.18988
676,-196.52107
677,-196.00763
678,-57.92701
679,-54.938282
680,-196.20825
681,-196.4411
682,-3856.8965
683,-196.76767
684,-196.63885
685,-54.587906
686,-54.717754
687,-505.25183
688,-195.21426
689,-3233.7642
690,-93.14006
691,-196.67389
692,-195.99634
693,-19441.156
694,-93.17965
695,-196.578
696,-568.84143
697,-195.49573
698,-6167.451
699,-54.687244
700,-17206.01
701,-109.68324
702,-194.68134
703,-6148.854
704,-180.08295
705,-175.95042
706,-523.6058
707,-196.49484
708,-194.85007
709,-54.934925
710,-6287.9736
711,-54.620136
712,-54.634583
713,-462.8604
714,-54.754242
715,-554.12354
716,-445.29517
717,-60.03805
718,-197.05426
719,-79.0425
720,-54.636364
721,-194.6138
722,-195.32912
723,-195.45865
724,-54.207058
725,-148.8693
726,-527.4773
727,-3322.3835
728,-54.403145
729,-197.06007
730,-54.18885
731,-517.2557
732,-480.39352
733,-196.93895
734,-197.38408
735,-414.52402
736,-197.44003
737,-394.44525
738,-59.643738
739,-54.958836
740,-60.132732
741,-54.66211
742,-87.93424
743,-54.74317
744,-569.52637
745,-54.79428
746,-54.499218
747,-196.27621
748,-59.502792
749,-401.12903
750,-54.57667
751,-197.21967
752,-197.31815
753,-631.40985
754,-196.71597
755,-449.7979
756,-64.04767
757,-440.87863
758,-54.125748
759,-196.58765
760,-195.74161
761,-615.1439
762,-54.446117
763,-196.4589
764,-196.20934
765,-196.61638
766,-54.731438
767,-196.81212
768,-196.63261
769,-197.0026
770,-1192.471
771,-197.25911
772,-197.27039
773,-197.25063
774,-54.271
775,-197.08772
776,-197.13243
777,-197.00397
778,-561.9636
779,-522.81055
780,-193.59451
781,-564.8447
782,-196.40616
783,-17566.496
784,-54.851906
785,-120.572975
786,-58.74099
787,-197.1637
788,-511.71768
789,-154.31056
790,-195.87024
791,-197.13724
792,-59.91964
793,-197.05717
794,-195.97543
795,-425.27875
796,-54.69891
797,-197.23785
798,-197.06145
799,-20854.83
800,-54.553818
801,-197.06679
802,-194.3677
803,-196.83092
804,-65489.41
805,-197.10626
806,-64.962585
807,-54.74898
808,-10537.727
809,-488.60474
810,-60.520107
811,-54.861683
812,-1872.4506
813,-467.65323
814,-196.57486
815,-197.15811
816,-54.765896
817,-540.0597
818,-54.451126
819,-194.77576
820,-63.020927
821,-54.479156
822,-197.10422
823,-2263.0825
824,-54.6817
825,-197.01129
826,-196.25142
827,-54.7225
828,-197.271
829,-50741.516
830,-196.97394
831,-196.9281
832,-54.42285
833,-197.27045
834,-197.19464
835,-54.466637
836,-54.700706
837,-197.06482
838,-196.37505
839,-195.66937
840,-54.834026
841,-397.4097
842,-59.404964
843,-504.97086
844,-197.20584
845,-197.03745
846,-556.89185
847,-196.84735
848,-195.60503
849,-89.42594
850,-54.813587
851,-194.98254
852,-478.97162
853,-54.38117
854,-197.19191
855,-196.76385
856,-54.83431
857,-197.29868
858,-135.68979
859,-196.78143
860,-196.32983
861,-54.619507
862,-391.13617
863,-54.67546
864,-197.1392
865,-196.57901
866,-54.674454
867,-79.87192
868,-197.04718
869,-197.22995
870,-651.77606
871,-218.28717
872,-197.09117
873,-196.87679
874,-197.26561
875,-496.72534
876,-129.76146
877,-588.4708
878,-196.49661
879,-197.2441
880,-311.1186
881,-59.810326
882,-59.655796
883,-59.70517
884,-70.74529
885,-720.61584
886,-196.33237
887,-424.0193
888,-8473.611
889,-196.25829
890,-104.72638
891,-54.535187
892,-1416.8098
893,-197.29355
894,-197.3917
895,-513.17456
896,-123.87973
897,-54.740902
898,-54.660492
899,-2515.5469
900,-54.657963
901,-54.99305
902,-55.03295
903,-395.3935
904,-277.90363
905,-583.27124
906,-535.2013
907,-197.15198
908,-54.796654
909,-123550.57
910,-65.212204
911,-54.45309
912,-195.77332
913,-195.40355
914,-54.77274
915,-195.78171
916,-8578.244
917,-197.46265
918,-54.531
919,-54.93488
920,-59.83663
921,-196.4179
922,-195.80156
923,-398.89172
924,-449.43674
925,-54.6276
926,-42032.574
927,-92.24341
928,-197.27634
929,-31525.66
930,-196.75954
931,-54.563572
932,-54.305294
933,-54.700684
934,-6302.2114
935,-197.503
936,-422.45007
937,-570.661
938,-650.7312
939,-681.5885
940,-197.42163
941,-457.0181
942,-626.0332
943,-158.52794
944,-54.705547
945,-54.339256
946,-55.072544
947,-498.82303
948,-54.623993
949,-569.6709
950,-54.7696
951,-413.28662
952,-91.08855
953,-746.91284
954,-196.95732
955,-54.839607
956,-456.3813
957,-54.684933
958,-54.68473
959,-263.58514
960,-54.88957
961,-195.28365
962,-194.94556
963,-196.03223
964,-54.475376
965,-196.85242
966,-179.4303
967,-1366.9833
968,-414.60406
969,-197.26132
970,-197.14378
971,-177.33064
972,-74.51635
973,-96.40361
974,-54.63561
975,-192.13095
976,-197.28577
977,-54.851097
978,-193.94797
979,-196.7814
980,-54.684196
981,-96.88662
982,-59049.418
983,-196.90396
984,-625.8689
985,-195.4657
986,-54.76097
987,-197.0986
988,-60.18696
989,-7820.9014
990,-383.97507
991,-197.13971
992,-54.90446
993,-54.65634
994,-462.80896
995,-196.97116
996,-115.03884
997,-196.13316
998,-538.0469
999,-54.592983
1000,-2319.188
1001,-197.0316
1002,-205.37755
1003,-55.01896
1004,-2917.3782
1005,-197.42757
1006,-196.5142
1007,-54.637302
1008,-196.77756
1009,-517.28723
1010,-197.33963
1011,-560.58813
1012,-197.43785
1013,-519.72217
1014,-195.69788
1015,-72.40566
1016,-54.806396
1017,-195.85504
1018,-532.29694
1019,-195.62314
1020,-197.14044
1021,-116.748215
1022,-65.38456
1023,-54.924664
1024,-9010.8
1025,-54.693844
1026,-620.998
1027,-54.64537
1028,-440.5211
1029,-153.26056
1030,-474.94873
1031,-196.71632
1032,-7627.2646
1033,-195.92966
1034,-94.380295
1035,-195.47052
1036,-437.19888
1037,-196.9848
1038,-667.3749
1039,-196.85248
1040,-80.6719
1041,-437.92273
1042,-196.8761
1043,-197.0847
1044,-98.4581
1045,-87.56944
1046,-518.51996
1047,-465.02942
1048,-360.63422
1049,-532.34467
1050,-196.55911
1051,-195.62692
1052,-193.89407
1053,-467.72308
1054,-194.56345
1055,-54.670986
1056,-194.95422
1057,-114.743866
1058,-54.64099
1059,-54.6979
1060,-197.25255
1061,-607.6897
1062,-89.78179
1063,-409.25714
1064,-54.574646
1065,-444.2174
1066,-196.64574
1067,-54.920372
1068,-436.66797
1069,-197.04494
1070,-802.64935
1071,-539.4142
1072,-452.21948
1073,-196.72224
1074,-196.91449
1075,-183.92798
1076,-17599.213
1077,-54.532635
1078,-98890.14
1079,-54.759502
1080,-179.91418
1081,-59.98105
1082,-54.89238
1083,-197.07846
1084,-510.55695
1085,-67691.72
1086,-65.02704
1087,-195.09207
1088,-195.53369
1089,-517.29486
1090,-59.952816
1091,-490.24243
1092,-54.77489
1093,-689.2311
1094,-54.814106
1095,-54.45041
1096,-54.99452
1097,-126.61916
1098,-509.93195
1099,-197.17361
1100,-54.744827
1101,-197.29675
1102,-197.10887
1103,-65.75006
1104,-89.56488
1105,-171.75189
1106,-54.719543
1107,-54.687054
1108,-196.90253
1109,-197.05502
1110,-197.1977
1111,-215.27972
1112,-448.6856
1113,-54.860497
1114,-158.84734
1115,-197.21129
1116,-54.389107
1117,-54.870758
1118,-54.280067
1119,-520.30554
1120,-54.937344
1121,-195.36473
1122,-285.27325
1123,-54.950535
1124,-495.12222
1125,-599.97107
1126,-92.32785
1127,-197.32156
1128,-54.866512
1129,-196.9938
1130,-54.560944
1131,-195.80179
1132,-54.78949
1133,-54.647038
1134,-197.05557
1135,-54.75669
1136,-422.74817
1137,-54.824833
1138,-197.14325
1139,-65.30738
1140,-54.26255
1141,-692.9308
1142,-197.11465
1143,-59.440414
1144,-512.57434
1145,-54.86754
1146,-583.0268
1147,-196.37477
1148,-54.116714
1149,-428.32266
1150,-524.3153
1151,-197.3228
1152,-63.65613
1153,-54.37759
1154,-84.98732
1155,-488.07294
1156,-195.65741
1157,-439.07462
