,Total_Reward
412,-53.96708
413,-53.914215
414,69.90774
415,-53.90393
416,-59.837578
417,76.61095
418,-53.95386
419,-139.83531
420,-53.769737
421,-62.096367
422,-27015.006
423,58.07501
424,77.35477
425,78.52548
426,-524.1011
427,-54.244205
428,-53.943825
429,25.352516
430,53.261505
431,-53.906677
432,-18842.082
433,51.996197
434,80.01029
435,65.453575
436,-2117.5994
437,-66.4966
438,-53.745792
439,-341.22418
440,-53.78211
441,71.902084
442,-54.143078
443,79.38124
444,-897.3814
445,-54.042816
446,-53.754433
447,69.30818
448,-197.37253
449,-58.15621
450,75.54267
451,80.81012
452,-53.875698
453,-53.954716
454,-53.88484
455,-53.92517
456,-53.82763
457,180.28343
458,-53.995102
459,-54.123802
460,-1156.4528
461,-54.147465
462,-63.54293
463,78.05014
464,66.69847
465,-79.287506
466,-322.3127
467,-54.161644
468,-61.215122
469,-54.36486
470,-54.426216
471,-61.23317
472,-53.795013
473,69.53045
474,68.95839
475,-265.32825
476,-53.969997
477,-82.337814
478,60.18029
479,78.24588
480,-54.346497
481,-53.922123
482,84.205734
483,-54.077023
484,-6290.4004
485,-320.92105
486,71.72528
487,-197.29514
488,61.428795
489,-54.22009
490,-251.37424
491,-60.927593
492,-299.1934
493,72.046646
494,81.313194
495,-695.277
496,-54.115265
497,-57.51429
498,-54.06553
499,-54.092567
500,-2133.193
501,-54.52293
502,-71.949326
503,22.75893
504,-54.162567
505,-197.4004
506,-95.04414
507,-53.920425
508,-53.68398
509,-277.36115
510,-54.153034
511,-263.13522
512,-71.5617
513,-54.107616
514,-54.59571
515,-54.311108
516,65.747375
517,-65.04634
518,-53.97358
519,81.99109
520,-64.6458
521,-57.572285
522,-53.993946
523,-53.91993
524,77.29254
525,65.49118
526,-69.93544
527,-65.66326
528,21.507034
529,-54.049973
530,75.94148
531,-53.970314
532,-53.8774
533,79.426895
534,87.316284
535,-68.27537
536,72.03333
537,-54.036354
538,-54.188915
539,-61.51616
540,-54.34826
541,-293.78198
542,71.59961
543,-53.89126
544,-149.46255
545,-54.015045
546,-54.20459
547,77.092606
548,-54.14055
549,-53.846214
550,-54.131985
551,-5274.878
552,-1158.3965
553,-53.69586
554,-294.23538
555,-293.5202
556,-74.78352
557,-54.034435
558,-53.96862
559,54.5161
560,-57.68698
561,-247.31735
562,-1480.468
563,-53.950703
564,-54.28936
565,-53.697136
566,-58.67069
567,80.04001
568,-66.07309
569,70.603676
570,-197.5062
571,-482.87927
572,-53.891735
573,66.70796
574,-54.23344
575,84.00099
576,-53.908283
577,77.591484
578,-54.207947
579,-53.923637
580,64.27225
581,77.536835
582,-53.746048
583,82.67792
584,-77.15765
585,-283.34766
586,-53.747402
587,-302.63782
588,172.68938
589,-65.656166
590,-54.111134
591,-53.729992
592,-54.24119
593,79.09629
594,-57.731564
595,-54.110096
596,-54729.637
597,82.0909
598,-1278.0024
599,82.9523
600,-53.768833
601,55.01433
602,80.49465
603,-346.3969
604,-361.4981
605,-98.141174
606,33.587967
607,71.18234
608,-61.976654
609,-203.0608
610,-54.08521
611,-53.7479
612,-54.16748
613,80.20896
614,71.96513
615,58.710644
616,54.643173
617,-328.58398
618,76.20425
619,-266.0647
620,171.99088
621,80.648964
622,-59.71574
623,-53.726055
624,-248.63698
625,80.76155
626,-53.9715
627,-59.42437
628,-54.322266
629,-44.492874
630,-53.790565
631,-61.582733
632,-197.44588
633,80.92357
634,-60.900143
635,72.21961
636,-90.56923
637,-280.25354
638,-53.88134
639,-53.648148
640,-53.705063
641,-74.76764
642,-284.4258
